0,0,0,0,*
1907,1907-1930,1907-1930,1907-1954,*
1908,1907-1930,1907-1930,1907-1954,*
1909,1907-1930,1907-1930,1907-1954,*
1910,1907-1930,1907-1930,1907-1954,*
1911,1907-1930,1907-1930,1907-1954,*
1912,1907-1930,1907-1930,1907-1954,*
1913,1907-1930,1907-1930,1907-1954,*
1914,1907-1930,1907-1930,1907-1954,*
1915,1907-1930,1907-1930,1907-1954,*
1916,1907-1930,1907-1930,1907-1954,*
1917,1907-1930,1907-1930,1907-1954,*
1918,1907-1930,1907-1930,1907-1954,*
1919,1907-1930,1907-1930,1907-1954,*
1920,1907-1930,1907-1930,1907-1954,*
1921,1907-1930,1907-1930,1907-1954,*
1922,1907-1930,1907-1930,1907-1954,*
1923,1907-1930,1907-1930,1907-1954,*
1924,1907-1930,1907-1930,1907-1954,*
1925,1907-1930,1907-1930,1907-1954,*
1926,1907-1930,1907-1930,1907-1954,*
1927,1907-1930,1907-1930,1907-1954,*
1928,1907-1930,1907-1930,1907-1954,*
1929,1907-1930,1907-1930,1907-1954,*
1930,1907-1930,1907-1930,1907-1954,*
1931,1931-1954,1931-1954,1907-1954,*
1932,1931-1954,1931-1954,1907-1954,*
1933,1931-1954,1931-1954,1907-1954,*
1934,1931-1954,1931-1954,1907-1954,*
1935,1931-1954,1931-1954,1907-1954,*
1936,1931-1954,1931-1954,1907-1954,*
1937,1931-1954,1931-1954,1907-1954,*
1938,1931-1954,1931-1954,1907-1954,*
1939,1931-1954,1931-1954,1907-1954,*
1940,1931-1954,1931-1954,1907-1954,*
1941,1931-1954,1931-1954,1907-1954,*
1942,1931-1954,1931-1954,1907-1954,*
1943,1931-1954,1931-1954,1907-1954,*
1944,1931-1954,1931-1954,1907-1954,*
1945,1931-1954,1931-1954,1907-1954,*
1946,1931-1954,1931-1954,1907-1954,*
1947,1931-1954,1931-1954,1907-1954,*
1948,1931-1954,1931-1954,1907-1954,*
1949,1931-1954,1931-1954,1907-1954,*
1950,1931-1954,1931-1954,1907-1954,*
1951,1931-1954,1931-1954,1907-1954,*
1952,1931-1954,1931-1954,1907-1954,*
1953,1931-1954,1931-1954,1907-1954,*
1954,1931-1954,1931-1954,1907-1954,*
1955,1955-1959,1955-1969,1955-1984,*
1956,1955-1959,1955-1969,1955-1984,*
1957,1955-1959,1955-1969,1955-1984,*
1958,1955-1959,1955-1969,1955-1984,*
1959,1955-1959,1955-1969,1955-1984,*
1960,1960-1964,1955-1969,1955-1984,*
1961,1960-1964,1955-1969,1955-1984,*
1962,1960-1964,1955-1969,1955-1984,*
1963,1960-1964,1955-1969,1955-1984,*
1964,1960-1964,1955-1969,1955-1984,*
1965,1965-1969,1955-1969,1955-1984,*
1966,1965-1969,1955-1969,1955-1984,*
1967,1965-1969,1955-1969,1955-1984,*
1968,1965-1969,1955-1969,1955-1984,*
1969,1965-1969,1955-1969,1955-1984,*
1970,1970-1974,1970-1984,1955-1984,*
1971,1970-1974,1970-1984,1955-1984,*
1972,1970-1974,1970-1984,1955-1984,*
1973,1970-1974,1970-1984,1955-1984,*
1974,1970-1974,1970-1984,1955-1984,*
1975,1975-1979,1970-1984,1955-1984,*
1976,1975-1979,1970-1984,1955-1984,*
1977,1975-1979,1970-1984,1955-1984,*
1978,1975-1979,1970-1984,1955-1984,*
1979,1975-1979,1970-1984,1955-1984,*
1980,1980-1984,1970-1984,1955-1984,*
1981,1980-1984,1970-1984,1955-1984,*
1982,1980-1984,1970-1984,1955-1984,*
1983,1980-1984,1970-1984,1955-1984,*
1984,1980-1984,1970-1984,1955-1984,*
1985,1985-1989,1985-1999,1985-2014,*
1986,1985-1989,1985-1999,1985-2014,*
1987,1985-1989,1985-1999,1985-2014,*
1988,1985-1989,1985-1999,1985-2014,*
1989,1985-1989,1985-1999,1985-2014,*
1990,1990-1994,1985-1999,1985-2014,*
1991,1990-1994,1985-1999,1985-2014,*
1992,1990-1994,1985-1999,1985-2014,*
1993,1990-1994,1985-1999,1985-2014,*
1994,1990-1994,1985-1999,1985-2014,*
1995,1995-1999,1985-1999,1985-2014,*
1996,1995-1999,1985-1999,1985-2014,*
1997,1995-1999,1985-1999,1985-2014,*
1998,1995-1999,1985-1999,1985-2014,*
1999,1995-1999,1985-1999,1985-2014,*
2000,2000-2004,2000-2014,1985-2014,*
2001,2000-2004,2000-2014,1985-2014,*
2002,2000-2004,2000-2014,1985-2014,*
2003,2000-2004,2000-2014,1985-2014,*
2004,2000-2004,2000-2014,1985-2014,*
2005,2005-2009,2000-2014,1985-2014,*
2006,2005-2009,2000-2014,1985-2014,*
2007,2005-2009,2000-2014,1985-2014,*
2008,2005-2009,2000-2014,1985-2014,*
2009,2005-2009,2000-2014,1985-2014,*
2010,2010-2014,2000-2014,1985-2014,*
2011,2010-2014,2000-2014,1985-2014,*
2012,2010-2014,2000-2014,1985-2014,*
2013,2010-2014,2000-2014,1985-2014,*
2014,2010-2014,2000-2014,1985-2014,*
